datetime,user,msg
2019-08-28 11:59:00,Malik,hahaha acha
2019-08-28 12:00:00,SubTain Malik,G
2019-08-28 12:00:00,Malik,👊🏻
2019-08-28 12:00:00,SubTain Malik,Koji lg rhi ho gi apko pic
2019-08-28 12:09:00,Malik,https://www.facebook.com/760765290621995/posts/2667336916631480?sfns=mo
2019-08-28 12:09:00,Malik,ne janu
2019-08-28 12:09:00,Malik,jani*
2019-08-28 12:09:00,Malik,wqtch till end
2019-08-28 12:24:00,SubTain Malik,Best hai
2019-08-28 12:25:00,SubTain Malik,Especially ye chez ky shadi ky bd itna sb kia unhon ny ♥ ♥ ♥
2019-08-28 12:27:00,Malik,Ggg
2019-08-28 17:13:00,Malik,<Media omitted>
2019-08-28 17:13:00,Malik,<Media omitted>
2019-08-28 17:13:00,Malik,<Media omitted>
2019-08-28 17:13:00,Malik,<Media omitted>
2019-08-28 17:13:00,Malik,<Media omitted>
2019-08-28 17:14:00,SubTain Malik,Beauty overloaded
2019-08-28 17:15:00,SubTain Malik,Looking like wallpapers of a female model ♥
2019-08-28 17:15:00,SubTain Malik,Princess 👸 in fairy tales
2019-08-28 17:15:00,Malik,hahaha
2019-08-28 17:15:00,Malik,zyda ne h gaya
2019-08-28 17:16:00,SubTain Malik,Beta sach main bohat acha laga ap py
2019-08-28 17:16:00,SubTain Malik,Udr toh awin tha apny pehna toh asal beauty ai is suit py
2019-08-28 17:16:00,SubTain Malik,Hayeeeeeee pass hota toh zoron ki japhi dal ky apki iron harab kr deta suit ki
2019-08-28 17:16:00,SubTain Malik,♥ ♥ ♥
2019-08-28 17:17:00,Malik,hahahhaha
2019-08-28 17:17:00,Malik,pgl
2019-08-28 17:17:00,Malik,aww so sweet
2019-08-28 17:18:00,Malik,g acha lag rha ha
2019-08-28 17:18:00,SubTain Malik,Academy jany ki tyari kryn chori
2019-08-28 17:18:00,Malik,kr re
2019-08-28 17:18:00,SubTain Malik,I'm really happy to see these pics of urs
2019-08-28 17:25:00,Malik,Aww ♥😂
2019-08-28 17:55:00,Malik,<Media omitted>
2019-08-28 17:56:00,Malik,<Media omitted>
2019-08-28 17:56:00,Malik,<Media omitted>
2019-08-28 18:00:00,SubTain Malik,Hayeee ♥ ♥ ♥
2019-08-28 18:01:00,SubTain Malik,Shalwar bhi dekhyn pyari lag rhiii full matching ♥ ♥ ♥
2019-08-28 18:06:00,Malik,ggg
2019-08-28 18:07:00,Malik,sth e the ya wale
2019-08-28 18:23:00,SubTain Malik,G yad hai
2019-08-28 19:15:00,Malik,Gg
2019-08-28 19:44:00,SubTain Malik,Hn g bilkul
2019-08-28 21:23:00,Malik,back
2019-08-28 21:49:00,SubTain Malik,Good babes
2019-08-28 21:59:00,SubTain Malik,Kesa raha ajka din meri cato ka?
2019-08-28 22:20:00,Malik,Best th Allhamdullilah
2019-08-28 22:22:00,SubTain Malik,<Media omitted>
2019-08-28 22:22:00,SubTain Malik,That coat guy is Principle of our dpt
2019-08-28 22:23:00,Malik,Aww Thats nyc
2019-08-28 22:24:00,SubTain Malik,😂
2019-08-28 22:24:00,SubTain Malik,Dekh lyn
2019-08-28 22:24:00,SubTain Malik,Serving Air Vice Marshall
2019-08-28 22:29:00,Malik,Ahan Ahan
2019-08-28 22:30:00,SubTain Malik,Hamary department ka principal hai yara
2019-08-28 22:41:00,Malik,Acha sibtii
2019-08-28 22:45:00,SubTain Malik,Ni hmary dpt ka h yrr
2019-08-28 22:45:00,SubTain Malik,Udr e ghomty hty
2019-08-28 22:46:00,Malik,Ab ap b NUST ke mala na japna shuro ker dy 😂😂
2019-08-28 22:46:00,SubTain Malik,😂 😂 😂
2019-08-28 22:46:00,SubTain Malik,Tng kr rha tha bass
2019-08-28 22:46:00,SubTain Malik,Koji
2019-08-28 22:46:00,SubTain Malik,Back
2019-08-28 22:46:00,Malik,hahhaha acha
2019-08-28 22:46:00,Malik,ab m huggi kru k na krun ?
2019-08-28 22:47:00,Malik,q k ap n b nii kiaa 🙄
2019-08-28 22:47:00,SubTain Malik,Poch q rhin?
2019-08-28 22:47:00,SubTain Malik,M naraz tha hlka sa
2019-08-28 22:47:00,Malik,Kr le huggi
2019-08-28 22:47:00,Malik,qq ??
2019-08-28 22:47:00,SubTain Malik,Ahhh
2019-08-28 22:47:00,SubTain Malik,Milin ni ap
2019-08-28 22:47:00,Malik,q nrz thy
2019-08-28 22:47:00,SubTain Malik,Akele m
2019-08-28 22:47:00,Malik,??
2019-08-28 22:48:00,SubTain Malik,That's why bas
2019-08-28 22:48:00,Malik,hud h abe tk ap waha e arry ha
2019-08-28 22:48:00,SubTain Malik,Tha
2019-08-28 22:48:00,SubTain Malik,Subha
2019-08-28 22:53:00,Malik,Ab m nrz hn
2019-08-28 22:53:00,Malik,y kui bat ne hui yr
2019-08-28 23:00:00,SubTain Malik,Waja
2019-08-28 23:00:00,SubTain Malik,Dekhyn
2019-08-28 23:06:00,Malik,Kiaa ?
2019-08-28 23:06:00,SubTain Malik,Ek dfa rus ky bina janglion ki tarah lary
2019-08-28 23:06:00,SubTain Malik,M raha
2019-08-28 23:07:00,Malik,ap kal wale bat p abe tk naraz
2019-08-28 23:07:00,Malik,bht glt bat
2019-08-28 23:07:00,SubTain Malik,Ni ab toh thek
2019-08-28 23:07:00,Malik,Kia ??
2019-08-28 23:08:00,SubTain Malik,Kia?
2019-08-28 23:08:00,Malik,Acha
2019-08-28 23:09:00,SubTain Malik,Mt hoon naraz
2019-08-28 23:09:00,SubTain Malik,Already pain hoing
2019-08-28 23:09:00,Malik,Q ?
2019-08-28 23:09:00,Malik,kahan ??
2019-08-28 23:09:00,SubTain Malik,Sar
2019-08-28 23:09:00,SubTain Malik,Shoulder
2019-08-28 23:09:00,SubTain Malik,Legs
2019-08-28 23:10:00,Malik,Aww
2019-08-28 23:10:00,Malik,daba dn ?
2019-08-28 23:10:00,SubTain Malik,Poch ky?
2019-08-28 23:10:00,SubTain Malik,Ek shart h pr meri
2019-08-28 23:10:00,Malik,Lety m legs dabati hn
2019-08-28 23:10:00,Malik,kia
2019-08-28 23:11:00,SubTain Malik,If and only If u r free
2019-08-28 23:11:00,SubTain Malik,Agar kam hai toh pele wo kryn
2019-08-28 23:11:00,Malik,Nai m dabati h phly
2019-08-28 23:11:00,SubTain Malik,Sony sy pele dbayega
2019-08-28 23:11:00,Malik,Acha thek h
2019-08-28 23:11:00,Malik,phr apko chay bana dn ?
2019-08-28 23:12:00,SubTain Malik,Hath pkr ky dbaya
2019-08-28 23:12:00,SubTain Malik,Chup kr ky kam kryn
2019-08-28 23:12:00,SubTain Malik,Ek toh meri jaan kch bn jy that's why m pain ignore kr rha..
2019-08-28 23:13:00,SubTain Malik,Opr sy chay?
2019-08-28 23:13:00,SubTain Malik,Awaragrdi ni krni
2019-08-28 23:14:00,Malik,Aww
2019-08-28 23:14:00,Malik,han 5 mint lagy gy bana dtii
2019-08-28 23:14:00,Malik,mtlb?
2019-08-28 23:14:00,SubTain Malik,Ni
2019-08-28 23:14:00,SubTain Malik,Pryn
2019-08-28 23:14:00,SubTain Malik,Chay bnany ni jana
2019-08-28 23:15:00,Malik,qq
2019-08-28 23:15:00,SubTain Malik,Prh ly koji
2019-08-28 23:16:00,Malik,acha jani
2019-08-28 23:16:00,SubTain Malik,Fer tere kolon e sb bnwana
2019-08-28 23:19:00,Malik,Hayy Sakdy jaun
2019-08-28 23:19:00,Malik,This message was deleted
2019-08-29 00:00:00,Malik,???
2019-08-29 03:30:00,SubTain Malik,G
2019-08-29 03:30:00,Malik,kia
2019-08-29 03:31:00,SubTain Malik,Sath ho gya
2019-08-29 03:31:00,Malik,Ggg
2019-08-29 03:31:00,SubTain Malik,Dil ghbra raha
2019-08-29 03:31:00,SubTain Malik,😖
2019-08-29 03:31:00,Malik,Q ??
2019-08-29 03:32:00,SubTain Malik,No idea
2019-08-29 03:32:00,Malik,grmi k waja s ha
2019-08-29 03:32:00,SubTain Malik,Bethi hui hain ky leti?
2019-08-29 03:32:00,Malik,Jani soi v the ap k msg k awz s ankh khulee
2019-08-29 03:32:00,SubTain Malik,Hayeee
2019-08-29 03:33:00,SubTain Malik,Hugiii kr li sai wali
2019-08-29 03:33:00,Malik,Ahhh
2019-08-29 03:33:00,Malik,G g
2019-08-29 03:33:00,SubTain Malik,Azi I'm thinking ky ab agr m gussa hua ya naraz hua toh batain kam kia krny ki full try krun ga
2019-08-29 03:33:00,SubTain Malik,Woi chez buri lgti meri pari ko
2019-08-29 03:34:00,Malik,mtlb??
2019-08-29 03:34:00,SubTain Malik,Ummmmaahhhh on ur chicks zor sy
2019-08-29 03:34:00,Malik,Ahhh
2019-08-29 03:34:00,SubTain Malik,Face rkh dia face py
2019-08-29 03:34:00,Malik,Ay fav place p sar rkhy.m pal krti apko
2019-08-29 03:35:00,SubTain Malik,Ummmmmmmmmmmmmmaaaaaaaaaaaaaaaaaahhhhhhhhhhhhhhhhhhhh
2019-08-29 03:35:00,Malik,Itna pyar
2019-08-29 03:35:00,Malik,G g m smjti h ap s k uthy hain 😉🤣
2019-08-29 03:35:00,SubTain Malik,Upr hn zra sa
2019-08-29 03:35:00,Malik,Lain
2019-08-29 03:35:00,SubTain Malik,Ni wo sb control krna h
2019-08-29 03:35:00,Malik,😂😂
2019-08-29 03:35:00,SubTain Malik,Rkh lia fav place py sir
2019-08-29 03:35:00,Malik,Balo m pal kring
2019-08-29 03:36:00,SubTain Malik,♥
2019-08-29 03:36:00,SubTain Malik,Km hui ghabrahat
2019-08-29 03:36:00,Malik,Hayy Inshah Allah ay g e din jb ham daily real m aysy kryn g ♥
2019-08-29 03:36:00,SubTain Malik,InShaAllah
2019-08-29 03:36:00,SubTain Malik,♥
2019-08-29 03:36:00,Malik,Hahaha pgl
2019-08-29 03:36:00,Malik,kui hawab t ne dek lia phr
2019-08-29 03:36:00,SubTain Malik,I love you soooo much meriiii jaaannnn ♥
2019-08-29 03:36:00,Malik,♥
2019-08-29 03:36:00,SubTain Malik,Ni jani
2019-08-29 03:36:00,SubTain Malik,Koi ni dekha
2019-08-29 03:36:00,Malik,I love u 2 mre jan
2019-08-29 03:37:00,SubTain Malik,Srf 2?
2019-08-29 03:37:00,Malik,acha good boy
2019-08-29 03:37:00,Malik,Naii
2019-08-29 03:37:00,Malik,Infinte ♥😂
2019-08-29 03:37:00,SubTain Malik,Belly sy huggi kr li
2019-08-29 03:37:00,SubTain Malik,Main sadky jaon
2019-08-29 03:37:00,SubTain Malik,😍 😍 😍 😍
2019-08-29 03:38:00,Malik,♥♥
2019-08-29 03:38:00,Malik,Ggg
2019-08-29 03:38:00,SubTain Malik,Nthing
2019-08-29 03:38:00,Malik,Mre jan
2019-08-29 03:38:00,SubTain Malik,Fav place sy hushbo ati apki
2019-08-29 03:38:00,SubTain Malik,♥
2019-08-29 03:38:00,Malik,Hayyy ♥
2019-08-29 03:39:00,SubTain Malik,G hukum
2019-08-29 03:39:00,Malik,Mjy b ap k pass s apke hushbo ate
2019-08-29 03:39:00,Malik,kch n aysy e kaha
2019-08-29 03:39:00,Malik,jb ap mry pass aty ♥
2019-08-29 03:39:00,Malik,Nd i really love this word “ap mery pass aty”
2019-08-29 03:40:00,SubTain Malik,M ny ab pori try krni apse bht kam laron
2019-08-29 03:40:00,Malik,Hahaha is k bgair b ni rh skty ap
2019-08-29 03:40:00,SubTain Malik,R apse full kam btmzi krun
2019-08-29 03:40:00,SubTain Malik,Dekh lejeyga
2019-08-29 03:40:00,Malik,acha thek ha baby
2019-08-29 03:41:00,SubTain Malik,Me too
2019-08-29 03:41:00,Malik,♥
2019-08-29 03:41:00,SubTain Malik,Chlyn so jyn ap ab
2019-08-29 03:41:00,Malik,Acha mre jan
2019-08-29 03:41:00,Malik,ap mry pss e rhnaa
2019-08-29 03:41:00,Malik,kahe jana ne mjy chr k
2019-08-29 03:42:00,SubTain Malik,Main kithy jana wala?
2019-08-29 03:42:00,SubTain Malik,Yan m kithy ja sakda wala?
2019-08-29 03:42:00,Malik,Kam ty 🤣🤣
2019-08-29 03:42:00,Malik,Kam ty 🤣😂
2019-08-29 03:42:00,SubTain Malik,O v ty tere lai ay
2019-08-29 03:42:00,Malik,Hayyy Sadky♥
2019-08-29 03:42:00,Malik,acha m soti
2019-08-29 03:43:00,SubTain Malik,Jadon da serious hoya wan life vch
2019-08-29 03:43:00,SubTain Malik,Ehi kaynda
2019-08-29 03:43:00,SubTain Malik,Tere lai ay sab
2019-08-29 03:43:00,SubTain Malik,Tu ni smjhdi bass
2019-08-29 03:43:00,Malik,Hahaha pagal
2019-08-29 03:43:00,Malik,ap mry sth h bss sb pss h mry
2019-08-29 03:43:00,SubTain Malik,Ummmmaahhhh 😝
2019-08-29 03:43:00,Malik,ahh
2019-08-29 03:43:00,SubTain Malik,So sweet ♥
2019-08-29 03:44:00,SubTain Malik,So jyn ab
2019-08-29 03:44:00,Malik,ap agr jag ry ha t F-7 ma kui guest house y hotl dek lay
2019-08-29 03:44:00,Malik,or ya sb jany k reqirmnts kia ha uske
2019-08-29 03:44:00,Malik,thek ha
2019-08-29 03:44:00,SubTain Malik,Q
2019-08-29 03:44:00,Malik,Bta dn q ?
2019-08-29 03:44:00,SubTain Malik,G
2019-08-29 03:44:00,Malik,Gndi bat ha 🤣
2019-08-29 03:45:00,SubTain Malik,Hum m gndi bt b hti koi?
2019-08-29 03:45:00,Malik,Ma n apna lolipop nichurna h 😉
2019-08-29 03:45:00,SubTain Malik,😂 😂
2019-08-29 03:45:00,SubTain Malik,Filhal ni
2019-08-29 03:45:00,Malik,🤣
2019-08-29 03:45:00,SubTain Malik,So jyn bass chup kr ky
2019-08-29 03:45:00,SubTain Malik,Apk lips py hath rkh dia
2019-08-29 03:45:00,Malik,j kaha h dekhyn
2019-08-29 03:46:00,Malik,phr sth soyen gy 😉
2019-08-29 03:46:00,SubTain Malik,Chup kr ky soyen don't seduce me
2019-08-29 03:46:00,SubTain Malik,Hard kr ky sb phr dar jatin r na kr detin
2019-08-29 03:46:00,SubTain Malik,😋
2019-08-29 03:46:00,SubTain Malik,😶😶
2019-08-29 03:46:00,SubTain Malik,😕😕😕
2019-08-29 03:46:00,Malik,😂😂 mra t kam e yai ha sexy sexy kpry phn k ana u k samny 😉
2019-08-29 03:46:00,Malik,Yr bss dar lgta naw smjha kry
2019-08-29 03:47:00,SubTain Malik,😂 😂 😂 Srf yai ni hai r b bry kam hain apk
2019-08-29 03:47:00,SubTain Malik,Pyary kpry pehn ky ana
2019-08-29 03:47:00,Malik,G 🤣
2019-08-29 03:47:00,Malik,Ap s ladiyan krna
2019-08-29 03:47:00,Malik,pal krna
2019-08-29 03:47:00,SubTain Malik,G
2019-08-29 03:47:00,SubTain Malik,♥
2019-08-29 03:47:00,SubTain Malik,Sb pta ki thi
2019-08-29 03:47:00,SubTain Malik,Hear chado
2019-08-29 03:47:00,SubTain Malik,So jawo
2019-08-29 03:47:00,SubTain Malik,Ummmmaahhhh
2019-08-29 03:47:00,Malik,acha
2019-08-29 03:47:00,Malik,☺
2019-08-29 03:48:00,SubTain Malik,Good night my love
2019-08-29 03:48:00,SubTain Malik,😘
2019-08-29 06:54:00,SubTain Malik,Soyen aram se
2019-08-29 07:39:00,SubTain Malik,Kojii
2019-08-29 07:40:00,SubTain Malik,Better hn ab
2019-08-29 07:40:00,SubTain Malik,M uthta hn
2019-08-29 09:26:00,SubTain Malik,Hlki si hugi kr li
2019-08-29 09:26:00,SubTain Malik,Ummaah on ur hairs
2019-08-29 09:26:00,SubTain Malik,Me going
2019-08-29 09:26:00,SubTain Malik,😘
2019-08-29 10:00:00,SubTain Malik,<Media omitted>
2019-08-29 11:59:00,Malik,aww
2019-08-29 12:04:00,Malik,ktne mazy ke lg re ha
2019-08-29 12:09:00,SubTain Malik,G but abhi touch ni kr sktin ap
2019-08-29 12:09:00,SubTain Malik,Control kryn
2019-08-29 12:09:00,Malik,Hahaha ma n aysa kab kaha kch
2019-08-29 12:09:00,SubTain Malik,Laga mje
2019-08-29 12:09:00,SubTain Malik,<Media omitted>
2019-08-29 12:10:00,SubTain Malik,😔
2019-08-29 12:10:00,SubTain Malik,Mostly ajkal
2019-08-29 12:11:00,Malik,mra ranjha aysa ne ha
2019-08-29 12:11:00,Malik,y mera faida utha k b mera e ha
2019-08-29 12:11:00,Malik,😌😉♥
2019-08-29 12:11:00,Malik,Acha ap ke uni ma english ka deprtmnt ha ??
2019-08-29 12:16:00,SubTain Malik,Pora name.?
2019-08-29 12:16:00,SubTain Malik,Haan r meri heer bhi meri hi hai ♥ ♥ ♥
2019-08-29 12:16:00,Malik,yes
2019-08-29 12:17:00,SubTain Malik,But Heer nahi hai wo
2019-08-29 12:17:00,SubTain Malik,Aunty Heer hai 🤭
2019-08-29 12:17:00,Malik,Jani MS ENGLISH krwaty apke uni ma ?
2019-08-29 12:17:00,SubTain Malik,Dekhta ek mint
2019-08-29 12:17:00,Malik,m y pochna chah re
2019-08-29 12:17:00,Malik,Gg Aunti g 🤣🤣🤣
2019-08-29 12:17:00,Malik,acha
2019-08-29 12:17:00,SubTain Malik,😂 😂 😂 😂
2019-08-29 12:18:00,SubTain Malik,Ni krwaty
2019-08-29 12:18:00,SubTain Malik,Q?
2019-08-29 12:18:00,Malik,Awin pocha
2019-08-29 12:18:00,Malik,fzol uni ha ek sak
2019-08-29 12:18:00,Malik,dam**
2019-08-29 12:18:00,SubTain Malik,Kash ap ko MS-Bioinformatics krny ka shok hta
2019-08-29 12:19:00,SubTain Malik,Ap mere dpt m htin abi
2019-08-29 12:19:00,SubTain Malik,Meri junior r hum dono idr rehty :p
2019-08-29 12:19:00,Malik,Shaded bqws r boring subject ha ek dafa mood hwa th y kru g agy
2019-08-29 12:19:00,Malik,but no bht bonga ha
2019-08-29 12:20:00,SubTain Malik,<Media omitted>
2019-08-29 12:20:00,SubTain Malik,Last waly?
2019-08-29 12:20:00,Malik,MA k bd mra mood th Krny ka MS English but NUST m ne ha chalain Ham Quaid e Azam m pata kr  ly g
2019-08-29 12:20:00,Malik,ya Comsats
2019-08-29 12:21:00,Malik,shaded bury ha chemistry Zehar ha
2019-08-29 12:21:00,SubTain Malik,Meri jaan Uni ka name kia hai hud gor kejeye... *National University of Sciences and Technology* toh Engineering r Sciences ky subjects hain zyada ya Businees r Career counseling etc
2019-08-29 12:21:00,Malik,Clinical Phaycology ka soch skty
2019-08-29 12:21:00,Malik,To ecnomics q ha phr 😂🤷🏻‍♀
2019-08-29 12:21:00,SubTain Malik,Last waly dekhyn biotech waly ju 3 hain
2019-08-29 12:22:00,Malik,MA psycology ma kr lty
2019-08-29 12:22:00,SubTain Malik,Business
2019-08-29 12:22:00,Malik,yr kui scope ne ha in sb ka yaha rul h bss
2019-08-29 12:22:00,SubTain Malik,Ye b hamary dpt ky sath hai jura hua dpt bilkul.....
2019-08-29 12:23:00,SubTain Malik,You deleted this message
2019-08-29 12:23:00,Malik,deka white ktna suit kr rha
2019-08-29 12:23:00,SubTain Malik,Meri jaaan ki psnd hai basss
2019-08-29 12:23:00,Malik,Yes ♥
2019-08-29 12:24:00,SubTain Malik,Ab white r black shirts hi ekhati kr lete
2019-08-29 12:24:00,SubTain Malik,But ek masla hota white ky sath
2019-08-29 12:24:00,SubTain Malik,Apko pta hai naw?
2019-08-29 12:24:00,SubTain Malik,Jb gnda ho jata kitni prob hti
2019-08-29 12:24:00,Malik,kia ??
2019-08-29 12:24:00,Malik,roz chng kry naw pgl
2019-08-29 12:24:00,Malik,any sugesstion. ?
2019-08-29 12:24:00,SubTain Malik,Fer v pasena aye toh uski lines hin bn jatin
2019-08-29 12:24:00,SubTain Malik,Dar lgta
2019-08-29 12:25:00,Malik,Han ya b ha
2019-08-29 12:25:00,Malik,kis bat k ? 🤣
2019-08-29 12:25:00,SubTain Malik,Meri Mama ny b psychology pri hui
2019-08-29 12:25:00,Malik,🤣🤣🤣👊🏻
2019-08-29 12:25:00,Malik,Pgl
2019-08-29 12:25:00,SubTain Malik,Pele e ap mje mama jesi lgtin bht chezon m
2019-08-29 12:25:00,SubTain Malik,Ab again :p
2019-08-29 12:25:00,Malik,😂😂
2019-08-29 12:26:00,SubTain Malik,Sachi m
2019-08-29 12:26:00,SubTain Malik,Ghr hta toh kiss krta zor ki ek is bt py
2019-08-29 12:26:00,Malik,🤣🤣
2019-08-29 12:26:00,SubTain Malik,Fees submit krwa di?
2019-08-29 12:26:00,Malik,ni
2019-08-29 12:27:00,SubTain Malik,Kadon?
2019-08-29 12:27:00,Malik,no idea
2019-08-29 12:27:00,SubTain Malik,Abi kia kr rhin?
2019-08-29 12:27:00,Malik,leti v h jani
2019-08-29 12:28:00,Malik,uth k bss brush krna ab 🤭🤭
2019-08-29 12:28:00,SubTain Malik,Itni late?
2019-08-29 12:28:00,SubTain Malik,Nashta q ni krtin?
2019-08-29 12:28:00,Malik,yaha 10 bjy k bd ne mlta
2019-08-29 12:28:00,SubTain Malik,Mje ye chez bilkul ni psnd mere bachon ko begar dena ap ny
2019-08-29 12:28:00,Malik,aww
2019-08-29 12:28:00,SubTain Malik,Itni late uthtin hain sharam kia kryn thori
2019-08-29 12:29:00,Malik,jb shdi h ge r bchy h gy naw
2019-08-29 12:29:00,Malik,Kaha soya jna phr
2019-08-29 12:29:00,Malik,bachu n khna Mama dodo
2019-08-29 12:29:00,SubTain Malik,<Media omitted>
2019-08-29 12:29:00,SubTain Malik,Our bachy
2019-08-29 12:29:00,Malik,Papa n kehna begum Dodo 🤣🤣🤣🤣🤣🤣
2019-08-29 12:29:00,SubTain Malik,Konsa dodo?
2019-08-29 12:29:00,Malik,Exactly 😂😂😂😂
2019-08-29 12:29:00,Malik,j papa k psnd ha
2019-08-29 12:29:00,SubTain Malik,😂 😂 😂
2019-08-29 12:30:00,SubTain Malik,Dodo ni baqi b sb psnd b
2019-08-29 12:30:00,SubTain Malik,H
2019-08-29 12:30:00,Malik,Han woi naw
2019-08-29 12:30:00,Malik,in short kaha ha
2019-08-29 12:30:00,SubTain Malik,But ab ap dekhana tak gawra ni krtin 😔
2019-08-29 12:30:00,SubTain Malik,😒
2019-08-29 12:30:00,Malik,Aww mrra baby
2019-08-29 12:30:00,Malik,sad ni hty
2019-08-29 12:30:00,Malik,ab bhulny k koshish kry dodo
2019-08-29 12:30:00,SubTain Malik,Q
2019-08-29 12:30:00,Malik,ab ap k bachu k property hny waley h w 🤣
2019-08-29 12:31:00,SubTain Malik,9 months raj ky pee ln ga m
2019-08-29 12:31:00,Malik,😂🤣🤣
2019-08-29 12:31:00,SubTain Malik,Q ni hty meri chezyn mjse chupai jatin
2019-08-29 12:31:00,Malik,Chalain m us k bd b manage kr dn g apko 🤣
2019-08-29 12:31:00,SubTain Malik,😂 😂 😂 Ye toh apka bara pan hua phr ♥
2019-08-29 12:31:00,Malik,Kch time bachu k kch apka 🤣🤣🤣🤣
2019-08-29 12:31:00,SubTain Malik,Done ♥
2019-08-29 12:31:00,Malik,G.h
2019-08-29 12:31:00,Malik,g**
2019-08-29 12:31:00,Malik,🤣♥
2019-08-29 12:31:00,SubTain Malik,😂
2019-08-29 12:31:00,Malik,Sibti bss 2 bachy naw ?
2019-08-29 12:31:00,SubTain Malik,20
2019-08-29 12:32:00,Malik,tobah itne himt ne ha mj ma
2019-08-29 12:32:00,SubTain Malik,😂 Pta h koji
